Name,Element,Role,Rarity,Weapon Type (Main),Weapon Type (Sub),Traits,Skills,Base Stats,Skill Stats,Intron Levels,Passive Upgrades,Feature
Berenica,Umbro,DPS / Consonance Weapon / Weapon DMG,5★,Sword,Dual Pistols,Adventurer; Impression: Morality; Rapt Attention,Faintlight; Netherflames; Recuperation,Umbro ATK: 20 → 376.57; HP: 100 → 1255; Shield: 100 → 1255; DEF: 300; Max Sanity: 150; Skill DMG: 100%; Skill Range: 100%; Skill Duration: 118%; Skill Efficiency: 100% → 112.5%; Morale: 0%; Resolve: 0%,"[Faintlight] Sanity Cost: 20 → 18, DMG: 347% → 1040%, DMG Radius: 3m | [Netherflames] Sanity Cost: 10 → 9, Sanity Cost per Second: 26 → 23, 1-Hit DMG: 19% → 37%, 2-Hit DMG: 20% → 47%, 3-Hit DMG: 26% → 53%, 4-Hit DMG: 35% → 71%, 5-Hit DMG: 42% → 78%, Normal Hit DMG Radius: 3m, Charged Attack DMG: 113%, Sliding ATK DMG: 51%, 1-Hit Swordwave DMG: 209% → 416%, 2-Hit Swordwave DMG: 259% → 520%, 3-Hit Swordwave DMG: 291% → 588%, 4-Hit Swordwave DMG: 400% → 796%, 5-Hit Swordwave DMG: 434% → 866%, Skill DMG: 209% → 416%, Swordwave Width: 12m | [Recuperation] Sanity Recovery: 2, Effect Trigger Probability: 17% → 44%","Lv1: Upon using Helix Leap or Faintlight, Berenica gains 1 stack that increases Skill Efficiency by 8% for 12s, up to 3 stacks. | Lv2: Increase damage dealt to targets with a HP Percentage lower than Berenica by 30%. | Lv3: Faintlight Level +2; Recuperation Level +1. | Lv4: Increase Berenica's Attack by 20% per Combo Level. | Lv5: Netherflames Level +2; Recuperation Level +1. | Lv6: When in Netherflames state, each attack has a chance to unleash 1 additional Swordwave. The probability equals to 25% of Ymir's Trigger Probability.","ATK: +20%; ATK: +30%; Skill Efficiency: +5%; Skill Efficiency: +7.5%; Afterburn: After using Netherflames, the next use of Faintlight will not consume Sanity.; Heart Devourer: Only active when deployed as a Combat Partner Increases ATK (+40%) for the character and their nearby Umbro teammate(s).",
Daphne,Anemo,Support / Control / Heal,5★,Whipsword,Assault Rifle,Geologist; Impression: Wisdom; Fortune Favour,Emerald Effusion; Repulsion Synthesis; Azoth Projectile,Anemo ATK: 19 → 357.74; HP: 100 → 1255; Shield: 100 → 1255; DEF: 285; Max Sanity: 160; Skill DMG: 100%; Skill Range: 100% → 130%; Skill Duration: 118%; Skill Efficiency: 100%; Morale: 0%; Resolve: 0%,"[Emerald Effusion] Sanity Cost: 50, HP Recovery per Second: 0.24% ATK + 3 → 0.6% ATK + 3, Duration: 17.7s, Effect Radius: 6m → 7.8m | [Repulsion Synthesis] Sanity Cost: 60, Healing: 2.5% ATK + 35 → 7% ATK + 35, Purification Formula Duration: 14.16s, Additional DMG: 6.6% → 21%, Effect Radius (Opponents): 10m → 13m, Decay Formula Duration: 14.16s, DoT: 43% → 133%, ATK Reduction: 15%, Immobilization Duration: 3.54s | [Azoth Projectile] Trigger Probability Boost: 37% → 100%","Lv1: While Emerald Effusion is active, self and allies gain +10% Damage Dealt. | Lv2: During Emerald Effusion, the Azoth Projectile Daphne gains per second increases to 3. | Lv3: Emerald Effusion Level +2; Azoth Projectile Level +1. | Lv4: Restores 1 point of Sanity for each Azoth Projectile consumed. | Lv5: Repulsion Synthesis Level +2; Azoth Projectile Level +1. | Lv6: When a teammate with Purification Formula deals damage to an enemy with Decay Formula, Daphne gains 1 stack increasing Damage Dealt by 7% for 12s (max 3 stacks, 1s cooldown).","ATK: +20%; ATK: +30%; Skill Range: +12%; Skill Range: +18%; Argent Lacrima: When Daphne possesses Azoth Projectile and her ranged weapon attack deals damage, target hit by the ranged weapon attack incurs the DoT of Decay Formula 1 time (Damage = 10% of Daphne's Ranged Weapon Trigger Probability).; Ardent Impulse: Only active when deployed as a Combat Partner Increase CRIT Chance (+40%) for the character and their nearby teammate(s).",
Fina,Lumino,Support,5★,Sword,Assault Rifle,Impression: Empathy; Fortune Favour; Tamer,On a Warm Afternoon; Let the Tea Party Begin!; Bad Sorcerers Hate Sunlight!,Lumino ATK: 22 → 276.15; HP: 105 → 1318; Shield: 105 → 1318; DEF: 315; Max Sanity: 160; Skill DMG: 100%; Skill Range: 100% → 130%; Skill Duration: 118% → 133%; Skill Efficiency: 100%; Morale: 0%; Resolve: 0%,"[On a Warm Afternoon] Sanity Cost: 15, DMG: 45.0% → 126%, DMG Radius: 6m → 7.8m, DMG in Boisterous Tea Party: 59% → 185%, Movement SPD Decrease Duration: 14.16s → 15.96s | [Let the Tea Party Begin!] Sanity Cost: 10, Sanity Cost per Second: 11 → 10, Effect Radius: 10m → 13m, DoT: 349% → 1060%, Additional DMG: 5.1% → 15%, Additional DMG Duration: 14.16s → 15.96s | [Bad Sorcerers Hate Sunlight!] Additional DMG Throughout Battle: 6% → 15%, Taleweaver Quill Additional DMG per Stack: 0.37% → 1%, Taleweaver Quill Duration: 17.7s → 19.95s","Lv1: Allies with elemental bonus from Boisterous Tea Party gain +6% PEN per active element. | Lv2: Max Taleweaver Quill stacks +15 (total 45). On a Warm Afternoon grants +3 stacks; Tea Party generates +1 extra per second. | Lv3: On a Warm Afternoon +2; Bad Sorcerers Hate Sunlight +1. | Lv4: Each Taleweaver Quill stack increases Skill DMG +2% and Skill Range +1%. | Lv5: Let the Tea Party Begin! +2; Bad Sorcerers Hate Sunlight +1. | Lv6: During Boisterous Tea Party, Weapon attacks gain +24% CRIT Chance per active Bonus Effect and convert to target’s elemental weakness.","Skill Range: +12% / +18%; Skill Duration: +6% / +9%; To Be Continued: Using On a Warm Afternoon increases allies’ DMG by (1% × Taleweaver Quill stack) for 14.16s.; “Advance, Poker Card Soldiers!”: Combat Partner Increases Weapon DMG (+10%) for self and allies using Sword/Assault Rifle.",
Fushu,Hydro,Support / Sanity Recovery / Heal,5★,Whipsword,Bow,Impression: Morality; Keen Insight,Subcelestial Solace; Holistic Harmony; Archaeus Revival,Hydro ATK: 23 → —; HP: 105 → —; Shield: 105 → —; DEF: 315 → —; Max Sanity: 150 → —; Skill DMG: 100% → —; Skill Range: 100% → —; Skill Duration: 100% → —; Skill Efficiency: 100% → —; Morale: 0% → —; Resolve: 0% → —,"[Subcelestial Solace] Sanity Cost: 35, Summon DMG: 273.0%, Effect Radius: 10m, Duration: 10s, Healing: 0.48% ATK + 5, Sanity Recovery: 12 | [Holistic Harmony] Sanity Cost: 75, DMG: 524%, DMG Radius: 6m, Ultra Shield: 2.7% ATK + 80, ATK SPD Boost: 25%, Duration: 12s, Nine-Needle Therapy Skill DMG Boost: 12.8%, Nine-Needle Therapy Duration: 12s, Skill DMG Boost Cap: 120% | [Archaeus Revival] Skill SPD Boost per stack: 0.65%, Duration: 6s","Lv1: Allies with Nine-Needle Therapy ignore 25% of enemy DEF when dealing Skill DMG. | Lv2: Max Yunchi on field increased to 3. | Lv3: Subcelestial Solace +2; Archaeus Revival +1. | Lv4: Archaeus Revival stack cap increased to 15. | Lv5: Holistic Harmony +2; Archaeus Revival +1. | Lv6: During Holistic Harmony ATK SPD boost, Fushu deals +240% Hydro DMG.",Skill Duration: +6%; Skill DMG: +12%; Brimful of Vitality: Increases Skill DMG (+33% per Yunchi) based on number of summons.; Meridian Synergy: Combat Partner Increases Skill DMG (+10%) for allies when 2+ teammates share the same element.,
Hellfire,Pyro,DPS / Max HP / Skill DMG,5★,Greatsword,Grenade Launcher,Geologist; Impression: Morality; Rapt Attention,Raging Inferno; Cage of Despair; Retributive Resolve,Pyro ATK: 15 → 188.28; HP: 183 → 3446; Shield: 0; DEF: 345; Max Sanity: 120; Skill DMG: 100%; Skill Range: 100%; Skill Duration: 100% → 115%; Skill Efficiency: 100%; Morale: 0%; Resolve: 0%,"[Raging Inferno] Sanity Cost: 75, Retribution Duration: 15s → 17.25s, Retribution DoT: 24% Max HP → 60% Max HP, Retribution Radius: 10m, Duration Extension: 1s → 1.15s, Puncture Retribution DMG: 36% Max HP + 128 → 117% Max HP + 371, Puncture Retribution Radius: 6m | [Cage of Despair] Sanity Cost: 50, DMG: 67% Max HP + 110 → 202% Max HP + 317, DMG Radius: 20m, Taunt Duration: 5s | [Retributive Resolve] Max HP Boost: 39% → 120%, HP Recovery per Second: 0.3% Max HP",Lv1: Increases DMG to enemies within 6m radius by 30%. | Lv2: Increases HP recovery from Retributive Resolve to 0.4% per second. | Lv3: Raging Inferno +2; Retributive Resolve +1. | Lv4: Reduces Puncture Retribution interval to 1.4s. | Lv5: Cage of Despair +2; Retributive Resolve +1. | Lv6: Every 5 sanity-consuming skills used by teammates auto-triggers Cage of Despair once (CD: 5s).,HP: +20% / +30%; Skill Duration: +6% / +9%; Guilty Verdict: Increases DMG dealt (+50%) to enemies Taunted by Hellfire.; Aetherflame: Combat Partner Increases ATK (+40%) for self and nearby Pyro allies.,
Hilda,Pyro,DPS / Skill DMG / Weapon DMG,5★,Dual Blades,Grenade Launcher,Tamer; Impression: Wisdom; Fortune Favour,Pyrolytic Cleaning; Wholehearted Service; Automatic Sanitizing,Pyro ATK: 27 → —; HP: 90 → —; Shield: 90 → —; DEF: 265 → —; Max Sanity: 200 → —; Skill DMG: 100% → —; Skill Range: 100% → —; Skill Duration: 100% → —; Skill Efficiency: 100% → —; Morale: 0% → —; Resolve: 0% → —,"[Pyrolytic Cleaning] Sanity Cost: 10, Sanity Cost per Second: 15, DMG: 73%, Sanity Recovery Chance: 13%, Sanity Recovery: 5%, Hyperthermal Purgejet Length: 15m | [Wholehearted Service] Sanity Cost: 30, DMG: 353%, DMG Radius: 20m, Light Dirtexpeller DMG: 238%, Heavy Dirtexpeller DMG: 367%, Dirtexpeller Range: 15m, Light Dirtexpeller Duration: 12s | [Automatic Sanitizing] Elegant Anger Effect: 13%, Elegant Anger Duration: 6s","Lv1: Increases Dodge count by 2 and boosts Elegant Anger effects by 30%. | Lv2: Extends Hyperthermal Purgejet length by 50%. Enemies hit take +90% DMG from Hilda for 2s. | Lv3: Pyrolytic Cleaning +2; Automatic Sanitizing +1. | Lv4: When using Wholehearted Service, summons 2 extra Light Dirtexpellers and reduces enemy DMG by 25% for 12s. | Lv5: Wholehearted Service +2; Automatic Sanitizing +1. | Lv6: During Pyrolytic Cleaning, increases Hilda’s PEN stats by 50%.",ATK: +20% / +20%; Weapon Multishoot: +22.5% / +22.5%; Multitasking: Dirtexpeller may fire an additional projectile. Chance = (30% + 20% × Ranged Weapon Multishot). Increases Hyperthermal Purgejet DMG by same formula.; Hellforge: Combat Partner Increases ATK (+50%) for self and nearby Pyro allies.,
Kezhou,Lumino,DPS / Weapon DMG,5★,All Types,,Adventurer; Impression: Chaos; Rapt Attention,"Drift of Youth; Lightswords Slice Starry Streams; Life Drifts, Tides Rearrange",Lumino ATK: 25 → —; HP: 110 → —; Shield: 110 → —; DEF: 315 → —; Max Sanity: 180 → —; Skill DMG: 100% → —; Skill Range: 100% → —; Skill Duration: 100% → —; Skill Efficiency: 100% → —; Morale: 0% → —; Resolve: 0% → —,"[Drift of Youth] Sanity Cost: 50, DMG: 46.0%, DMG Radius: 10m, ATK SPD Boost: 21%, Duration: 12s | [Lightswords Slice Starry Streams] Lightswords Slice Starry Streams Sanity Cost: 100, Feathers Chase Dust in Dreams Sanity Cost: 100, Edges of All Times DMG: 387%, Phanosword ATK Range Boost: +1m, Phanoplume Path DMG: 68%, Feathers Chase Dust in Dreams DMG: 674%, Feathers Chase Dust in Dreams Radius: 10m, Sword Intent / String Intent Cost Reduction: 0.3 × Intent Value | [Life Drifts, Tides Rearrange] Sword Intent / String Intent Effect %: 0.39%","Lv1: Increases effect % of Sword / String Intent by 0.85%. When 1–2 enemies nearby, conversion rate increases to 3–2 pts per attack. | Lv2: Restores 3 Sanity every 0.5s when triggering Bonus Effect. | Lv3: Wanderings of Youth +2; Life Drifts, Tides Rearrange +1. | Lv4: Using Lightswords Slice Starry Streams grants Blessed by Wind and Moon, reducing Damage Taken by 25% for 15s. | Lv5: Lightswords Slice Starry Streams +2; Life Drifts, Tides Rearrange +1. | Lv6: Triggering Bonus Effect grants 9% PEN (5s, stacks up to 6x).","ATK: +20% / +20%; Weapon CRIT Chance: +30% / +30%; Yet the Drifter Marks the Change: Records current Sword or String Intent during and after Aspect Manifestation, preserving their effects for 15s.; Crimson Radiance: Combat Partner Increases ATK (+40%) for self and nearby Lumino allies.",
Lady Nifle,Lumino,DPS / Skill DMG,5★,Katana,Pistol,Impression: Empathy; Impression: Empathy; Fortune Favour,Lunar Hunt; Misty Sea Requiem; Interwoven Cries,Lumino ATK: 21 → 395.39; HP: 105 → 1318; Shield: 105 → 1318; DEF: 255; Max Sanity: 180; Skill DMG: 100%; Skill Range: 100% → 130%; Skill Duration: 100%; Skill Efficiency: 100%; Morale: 0%; Resolve: 0%,"[Lunar Hunt] Sanity Cost: 12, Lunar Hunt DMG: 1132% → 3400%, Lunar Hunt Radius: 10m → 13m, Lunar Hunt SPD Reduction: 30%, Lunar Hunt Duration: 3s, Solar Eclipse DMG: 1132% → 3400%, Solar Eclipse Radius: 3m → 3.9m, Solar Eclipse ATK Reduction: 25%, Solar Eclipse Duration: 3s | [Misty Sea Requiem] Sanity Cost: 120, Trigger Probability Boost: 60%, Duration: 12s, Skill Range Conversion: 100%, Enhanced Solar Eclipse DMG: 2264% → 6800%, Enhanced Solar Eclipse Radius: 6m → 7.8m, Enhanced Lunar Hunt Radius: 10m → 13m | [Interwoven Cries] Effect Trigger Probability: 14% Ranged Weapon Trigger Probability → 50%, Max Trigger Probability: 50%","Lv1: Increases Interwoven Cries Trigger Probability by 15%, cap raised to 65%. | Lv2: Lunar Hunt → Targets take +75% DMG from Solar Eclipse for 3s. Solar Eclipse → Targets take +75% DMG from Lunar Hunt for 3s. | Lv3: Solar Eclipse +2; Interwoven Cries +1. | Lv4: Increases Healing Received by 50% and Sanity Recovery by 25%. | Lv5: Misty Sea Requiem +2; Interwoven Cries +1. | Lv6: Ranged weapon hits have 25% chance to summon Lunar Hunt or Solar Eclipse at target location (CD: 1s).",ATK: +20% / +20%; Skill Range: +12% / +18%; Nightfall: Lunar Hunt can trigger Umbro Bonus Effects (50%); Solar Eclipse can trigger Lumino Bonus Effects (50%).; Crimson Radiance: Combat Partner Increases ATK (+50%) for self and nearby Lumino allies.,
Lisbell,Lumino,DPS / Consonance Weapon / Weapon DMG,5★,Greatsword,Shotgun,Adventurer; Impression: Empathy; Impression: Empathy,In the Name of Patience; That's It!; Hmph!!,Lumino ATK: 24 → 451.88; HP: 90 → 1130; Shield: 90 → 1130; DEF: 240; Max Sanity: 150; Skill DMG: 100%; Skill Range: 100%; Skill Duration: 100% → 115%; Skill Efficiency: 100%; Morale: 0%; Resolve: 0%,"[In the Name of Patience] Sanity Cost: 15, DMG: 274% ×3 + 667% → 814% ×3 + 1999%, DMG Radius: 6m | [That's It!] Sanity Cost: 10, Skill DMG: 481% → 1435%, Skill Radius: 10m, Charged Attack DMG: 848% → 1703%, Charged Attack (Lv. S): 179% + 848% → 359% + 1703%, Charged AoE: 6m × 6m, Sanity per Second: 25, Reduced Damage under Impatience: 30% | [Hmph!!] DMG: 204% → 600%, DMG Radius: 6m, Weapon Range: 1.2× per enhancement level → —, Trigger Probability Boost: 14%× → 50%× per level → —, Duration: 12s → 13.8s","Lv1: Using In the Name of Patience increases ATK by 35% for 15s. | Lv2: When triggering a Bonus Effect, gain +1 Combo Point. | Lv3: In the Name of Patience +2; Hmph!! +1. | Lv4: Increasing Combo Level grants +5 Combo Points. | Lv5: That's It! +2; Hmph!! +1. | Lv6: After using That's It! or Samael’s Charged Attack, gain +30% Lumino DMG for 15s.",ATK: +20% / +30%; Skill Duration: +6% / +9%; Can't Keep My Cool!!: Unleashing Samael's Charged Attack at Combo S extends Impatience by 12s.; Crimson Radiance: Combat Partner Increases ATK (+40%) for self and Lumino allies.,
Lynn,Pyro,DPS / Consonance Weapon / Weapon DMG,5★,Greatsword,Dual Pistols,Impression: Chaos; Rapt Attention; Adventurer,Deadly Blossom; Gunpowder Revelry; Tactical Rapid Fire,Pyro ATK: 23 → 433.05; HP: 105 → 1318; Shield: 105 → 1318; DEF: 240; Max Sanity: 150; Skill DMG: 100%; Skill Range: 100%; Skill Duration: 100% → 115%; Skill Efficiency: 100%; Morale: 0%; Resolve: 0%,"[Deadly Blossom] Sanity Cost: 12, DMG: 196% → 583%, DMG Radius: 20m, Laceration Duration: 8s, Laceration DMG: 66% → 192%, Lacerated Wound Count Cap: 10 | [Gunpowder Revelry] Sanity Cost: 10, Sanity Cost per Second: 20 → 18, Shooting DMG: 127% → 253%, Max Firing Range: 50m, ATK SPD Boost per Stack: 3% | [Tactical Rapid Fire] Suppressing Fire Duration: 6s → 6.9s, DMG Boost per Stack: 5.1% → 15%","Lv1: Gain 6 stacks of Preload at battle start and increase Morale by 35% for 60s. | Lv2: During Gunpowder Revelry, reduces Damage Taken by 30% and decreases the ATK Speed stack interval to 0.06s. | Lv3: Deadly Blossom Level +2; Tactical Rapid Fire Level +1. | Lv4: Increases damage dealt to targets with HP <70% by 35%. | Lv5: Gunpowder Revelry Level +2; Tactical Rapid Fire Level +1. | Lv6: During Gunpowder Revelry, when triggering Bonus Effect using Hansel and Gretel, inflicts Laceration on target(s) for 8s.",ATK: +20%; ATK: +30%; Skill Duration: +6%; Skill Duration: +9%; The Unforgivable: Immediately removes Laceration and deals damage once Lacerated Wound reaches its maximum.; Hellforge: Only active when deployed as a Combat Partner Increases ATK (+50%) for the character and their nearby Pyro teammate(s).,
