Name,Element,Weapon Type,Category,Damage Type,Rarity,Refinement Skill,Base Stats,Motion Values,Description
Arclight Apocalypse,Neutral,Bow,Range,Smash,,"Effect: Skill Duration (+15% / 18% / 21% / 24% / 27% / 30%). Landing a CRIT hit with this weapon randomly grants other allies one of the following for 16s: (+10% / 12% / 14% / 16% / 18% / 20%) ATK, (+10% / 12% / 14% / 16% / 18% / 20%) DEF, (+7.5% / 9% / 10.5% / 12% / 13.5% / 15%) Skill Damage, or (+10% / 12% / 14% / 16% / 18% / 20%) Skill Duration. || Refinements: [R1: 15%, 10%, 10%, 7.5%, 10% | R2: 18%, 12%, 12%, 9%, 12% | R3: 21%, 14%, 14%, 10.5%, 14% | R4: 24%, 16%, 16%, 12%, 16% | R5: 27%, 18%, 18%, 13.5%, 18% | R6: 30%, 20%, 20%, 15%, 20%]",Smash ATK: 18 → 225.94; CRIT Chance: 26%; CRIT DMG: 220%; ATK Speed: 1; Trigger Prob: 20%; Multishot: 1; Max Ammo: 150; Ammo Conv Rate: 475,Number_of_Projectiles: 7; Projectile_Damage: 6.3%,
Aurate Yore,Neutral,Dual Blades,Melee,Smash,,"Effect: CRIT Damage (+62.5% / 74.4% / 86.8% / 99.2% / 112.5% / 125%). Sliding attacks gain (+75% / 90% / 105% / 120% / 135% / 150%) CRIT Chance. || Refinements: [R1: +62.5%, +75% | R2: 74.4%, 90% | R3: 86.8%, 105% | R4: 99.2%, 120% | R5: 112.5%, 135% | R6: 125%, 150%]",Smash ATK: 18 → 225.94; CRIT Chance: 24%; CRIT DMG: 349.38%; ATK Speed: 1; Trigger Prob: 15%,,
Blade Amberglow,Neutral,Sword,Melee,Smash,,Effect: Character ATK (+60% / 72% / 84% / 96% / 108% / 120%). || Refinements: [R1: +60% | R2: 72% | R3: 84% | R4: 96% | R5: 108% | R6: 120%],Smash ATK: 19 → 238.49; CRIT Chance: 25%; CRIT DMG: 200%; ATK Speed: 1; Trigger Prob: 15%,chargedAttack: 113%; hit1: 45%; hit2: 50%; hit3: 40% × 2; hit4: 82%; plungeDmg: 51%; slidingAttack: 51%,
Blast Artistry,Umbro,Shotgun,Range,Smash,,"Effect: Character ATK (+50% / 60% / 70% / 80% / 90% / 100%). Charging fires a **special bullet** that travels slowly and explodes after delay (AoE). Tap-firing bullets cause early detonation. When an **Umbro** character uses Ultimate, grants (+20% / 24% / 28% / 32% / 36% / 40%) Skill Efficiency for 15s. || Refinements: [R1: +50%, +20% | R2: 60%, 24% | R3: 70%, 28% | R4: 80%, 32% | R5: 90%, 36% | R6: 100%, 40%]",Smash ATK: 15 → 188.28; CRIT Chance: 15%; CRIT DMG: 165%; ATK Speed: 1; Trigger Prob: 10%; Multishot: 1; Mag Capacity: 12; Max Ammo: 60; Ammo Conv Rate: 30,ProjectileCalibre: 2.8m; explosionDmg: 200%; projectileDmg: 33%,
Bluecurrent Pulse,Neutral,Dual Pistols,Range,Spike,,"Effect: Skill Duration (+15% / 18% / 21% / 24% / 27% / 30%). Projectiles bounce once on impact. When dealing damage, increases Dual Pistols Damage (+45% / 54% / 63% / 72% / 81% / 90%) for 15s. || Refinements: [R1: +15%, +45% | R2: 18%, 54% | R3: 21%, 63% | R4: 24%, 72% | R5: 27%, 81% | R6: 30%, 90%]",Spike ATK: 19 → 238.49; CRIT Chance: 20%; CRIT DMG: 225%; ATK Speed: 1; Trigger Prob: 25%; Multishot: 1; Mag Capacity: 20; Max Ammo: 150; Ammo Conv Rate: 60,,
Day of Sacred Verdict,Neutral,Shotgun,Range,Slash,,"Effect: CRIT Damage (+62.5% / 75% / 87.5% / 100% / 112.5% / 125%). Fired projectiles track the crosshair. When dealing damage, the farther the target, the higher the damage, up to (+45% / 54% / 63% / 72% / 81% / 90%). || Refinements: [R1: +62.5%, +45% | R2: 75%, 54% | R3: 87.5%, 63% | R4: 100%, 72% | R5: 112.5%, 81% | R6: 125%, 90%]",CRIT Chance: 20%; CRIT DMG: 325%; ATK Speed: 1; Trigger Prob: 15%; Multishot: 1; Mag Capacity: 5; Max Ammo: 60; Ammo Conv Rate: 25,explosionDmg: 139%; explosionRadius: 3m,
Daybreak Hymn,Neutral,Assault Rifle,Range,Spike,,"Effect: Multishot (+37.5% / 45% / 52.5% / 60% / 67.5% / 75%). When dealing damage with this weapon, the lower the remaining Ammo percentage, the higher the damage dealt, up to (45% / 54% / 63% / 72% / 81% / 90%), with full effect when Ammo count is below 20%. || Refinements: [R1: 37.5%, 45% | R2: 45%, 54% | R3: 52.5%, 63% | R4: 60%, 72% | R5: 67.5%, 81% | R6: 75%, 90%]",Spike ATK: 18 → 225.94; CRIT Chance: 26%; CRIT DMG: 245%; ATK Speed: 1; Trigger Prob: 24%; Multishot: 1.38; Mag Capacity: 30; Max Ammo: 100; Ammo Conv Rate: 110,Beam_DMG_-_Phase_2: 20%; Beam_DMG_-_Phase_3: 37%; Beam_Damage: 12%; Firing_Interval: 0.5 shots/s; Firing_Interval_-_Phase_2: 0.35 shots/s; Firing_Interval_-_Phase_3: 0.1 shots/s,
Destructo,Neutral,Grenade Launcher,Range,Smash,,Effect: Skill Range **(+36% / 43.2% / 50.4% / 57.6% / 64.8% / 72%)**. || Refinements: [R1: +36% | R2: 43.2% | R3: 50.4% | R4: 57.6% | R5: 64.8% | R6: 72%],CRIT Chance: 20%; CRIT DMG: 180%; ATK Speed: 1; Trigger Prob: 20%; Multishot: 1; Mag Capacity: 8; Max Ammo: 40; Ammo Conv Rate: 35,,
Dreamweaver's Feather,Lumino,Assault Rifle,Range,Slash,,"Effect: Skill Range +(30% / 36% / 42% / 48% / 54% / 60%). When a Lumino character deals additional damage, there is a 30% chance to grant 1 stack that increases ATK for nearby teammates by (9% / 10.8% / 12.6% / 14.4% / 16.2% / 18%) for 15s, up to 10 stacks. || Refinements: [R1: 30%, 9% | R2: 36%, 10.8% | R3: 42%, 12.6% | R4: 48%, 14.4% | R5: 54%, 16.2% | R6: 60%, 18%]",Slash ATK: 15 → 188.28; CRIT Chance: 24%; CRIT DMG: 240%; ATK Speed: 1; Trigger Prob: 15%; Multishot: 1; Mag Capacity: 50; Max Ammo: 120; Ammo Conv Rate: 150,Beam_Damage: 20%; Firing_Interval: 0.13 shots/s,
Elpides Abound,Anemo,Polearm,Melee,Slash,,"Effect: Resolve (+5% / 6% / 7% / 8% / 9% / 10%). After an **Anemo** character uses Ultimate, grants **Thousand Winds' Blessing:** Resolve (+8% / 9.6% / 11.2% / 12.8% / 14.4% / 16%) and ATK Speed (+15% / 18% / 21% / 24% / 27% / 30%) for 15s. Each Skill DMG or Ranged DMG instance extends duration by 0.2s. || Refinements: [R1: +5%, +8%, +15% | R2: 6%, 9.6%, 18% | R3: 7%, 11.2%, 21% | R4: 8%, 12.8%, 24% | R5: 9%, 14.4%, 27% | R6: 10%, 16%, 30%]",Slash ATK: 22 → 276.15; CRIT Chance: 23%; CRIT DMG: 250%; ATK Speed: 1; Trigger Prob: 10%,Charged: 10%; Plunge: 47%; Sliding: 40%; hit1: 35%; hit2: 25% × 3; hit3: 50%; hit4: 40%; hit5: 75%,
